comment,label,rate
Áo bao ??p ?!!,POS,5
Tuy?t v?i !,POS,5
2day ao khong giong trong.,NEG,1
"Mùi th?m,bôi lên da m?m da.",POS,5
"V?i ??p, dày d?n.",POS,5
"Hàng r?t ??p, r?t chi là ?ng ý.",POS,5
"Ch?t l??ng s?n ph?m t?t, date dài.",POS,5
?n nói và thái ?? ph?c v? t?t.,POS,4
?óng gói s?n ph?m ch?c ch?n.,POS,5
t?t s?n h?t ca ch?a dùng mà vay r.,NEG,2
Shop ph?c v? r?t t?t.,POS,5
M?c thì c?ng ?c.,NEU,3
Ch?t v?i kh?i chê.,POS,5
Th?i gian giao hàng r?t nhanh.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,4
v?i h?i thô c?ng Th?i gian giao hàng nhanh.,POS,5
Ch?t l??ng sp ch?a th?t s? ??p nhe shop!,POS,4
R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,5
Qu?n r?t ??p m?c v?a v?n.,POS,5
C?m giác mua hàng b? h? th?t t?!,NEG,2
mua v? nên ?i s?a l?i.,NEG,2
V?i giá này thì s?n ph?m t?m ?n ch?a ?c g?i là ??p l?m.,NEU,3
R?t ?áng ti?n Th?i gian giao hàng r?t Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Giá c? ch?p nh?n ???c.,POS,4
Nchung là r?t ?n ??.,POS,5
"Áo quá ??p luôn n?u không mu?n nói là ??p, may quá có áo m?i ?i làm cty m?i, shop còn m?u nào tr?ng n?a ?? mình mua.",POS,5
"Ch?a m?c nh?ng th?y ch?t dày d?n, nhìn là hài lòng.",POS,5
??ch?t v?i ?ã ok mà hình thì siu ciu luôn í.shop r?t nhi?t tình...ch?u??.,POS,5
Giao hàng nhanh.,POS,5
Th?y khá okz thanks shop.,POS,4
"Ch?t l??ng s?n ph?m tuy?t v?i,s? ?ng h? shop nhi?u.",POS,5
"Ch?t l??ng s?n ph?m t?m ???c, v?i h?i khô và m?ng.",POS,4
Hàng hoá l?a ??o.,NEG,1
Th?i gian giao hàng nhanh.,POS,4
?nh in ??p.,POS,5
Giá l?i r?.,POS,5
Qu?n áo super ??p.,POS,4
"Giao hàng thi?u, nt shop ?ã mà K có ph?n h?i gì.",NEG,1
Thank shop!,POS,5
Tuy?t v?i h?n mua trên shopee thì ???c freeship.,POS,5
Ti?c là ko ??t thêm m?y chi?c.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t Th?i gian giao hàng r?t nhanh.,POS,5
??ng h? mua v? k s? d?g ?c.,NEG,1
Ch?t m?m m?n mát.,POS,5
"Giao thi?u 1b 80k , mà im re.",NEG,1
S?n phr r?t ?ng ý.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
mua l?n 2 r?i <3.,POS,5
"Ng?c cuzng bitnhf th??ng thôi, mà m?c vào nó v?a ??y v?a sáng c? cái b?u ng?c.",NEG,1
Qu?n ??t 2 ??t t?n 7 chi?c mà ch?t qu?n hoàn toàn v?i ??t 1 .,POS,5
99k c?ng ?áng mua.,POS,5
"Qu?n ??p, v?a form .",POS,5
Giao hàng nhanh.,POS,5
"Ch?t v?i x?u, xù.",NEG,2
"Sp t?m ???c, h?i r?ng vs mình.",NEU,3
"??p, ch?t m?m m?i m?c r?t thích, ch? shop nhi?t tình Ch?t l??ng s?n ph?m tuy?t v?i Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.",POS,5
"Giày nhem nhu?c, ? b?n + Box nát.",NEG,1
"R?t ?áng ti?n, nhiên v?i ko ???c co giãn l?m, n?u là b?n gái t? 55k tr? lên thì khó m?c.",NEU,3
?? s? l??ng.,POS,4
Áo y hình Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
R?T ?NG Ý VÀ CH?T L??NG!!!,POS,5
"M?t ?? t? l?nh b? ?óng s?t l?i, kho?ng không chai ko di chuy?n nh? m?t mình mua ? ??a ph??ng.",NEG,2
Áo s? ch?t r?t thích.,POS,4
"Váy quá ??p,m?c lên r?t tôn da.",POS,5
"mình xài h?p màu xanh, l?i th?y không th?m nh??",POS,4
"Giao hàng nhanh, gi?ng hình.",POS,5
"Shop t?ng thêm bánh và 1 ?ôi t?t l??i n?a, ?áng yêu ????.",POS,5
"Hàng ch?t l??ng t?t, ?i êm <3.",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i nh?ng màu k gi?ng hình minh ??t .,POS,4
Ng??i giao hàng r?t có tâm ??y ?.,POS,5
Hàng t?t i nh? hình.,POS,5
Giao hàng khá ch?m.,NEG,2
"Áo ??p, h?i m?ng.",NEU,3
?úng hàng lo?i 1 có khác t? cách ?óng gói ??n ch?t l??ng s?n ph?m quá t?t.,POS,5
"Ch?t l??ng s?n ph?m tuy?t v?i , ngon b? re shop a.",POS,5
Màn hình to và khá là hd.,POS,5
Áo khá m?ng và c?t h?n mình ngh? ?óng gói s?n ph?m ok.,NEG,2
Qu?n ch?a k?p m?c ?ã b?c 1 ?o?n.,NEG,2
Mình 48kg.,NEU,3
"Mình mua sp ch?t gi?ng ?nh, gói hàng ??p, giao hàng nhanh, giá c? h?p lý.",POS,4
Ch?t áo thì k ph?i l?n t?nnn luôn nh?ng form h?i to .,POS,4
Shop còn có quà t?ng kèm và th? tích ?i?m.,POS,5
M?ng ch?y ch?m quá.,NEG,1
"V?a khít b?ng mình mà không b? h?n,c?n.",POS,4
Mua l?n 2.,POS,4
Ch?t l??ng s?n ph?m t?t.,POS,5
R?t ?ng ý ??????.,POS,5
"Hàng thì siêu yêu, siêu m?m m?n.",POS,5
Ch?t li?u v?i t?t v?i giá ( 100k).,POS,4
Ch?t l??ng s?n ph?m t?m ???c Th?i gian giao hàng t?m ???c ?óng gói s?n ph?m t?m ???c.,NEU,3
"?óng gói k? , áo còn l?i ??p.",POS,5
"Giao nh?m hàng , ib shop k tr? l?i ??????.",NEG,1
"Màu b?c r?t sáng, l?p lánh h?n màu h?ng.",POS,4
"Ch?t áo dày d?n, form áo ??p.",POS,5
?ng qu?n bên to bên nh? size s và l b?ng nhau.,NEG,2
?óng gói g?n gàng ??p ?? Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,5
"Ch?t l??ng s?n ph?m t??ng x?ng giá ti?n, mua m?c thay ??i ki?u thì ok.",POS,5
?c h?i l?ng thêm cái v?n vít k ?ang bao nhiêu nh?ng quý h?n cái dây kia b?n ?...,NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
"Shop ph?c v? r?t t?t, h?t m?u mình ??t còn g?i l?i ?? ??i lo?i khác dù giá h?n nh?ng v?n l?y =giá sale.hàng r?t oke.thanks shop ??.",POS,5
"Ren h?i m?m nên làm dáng áo ko ???c c?ng, nâng ng?c t?m ?c.",POS,4
Giao hàng lâu.,NEG,2
Sz 34 mà Khung ng?c nh? quá.,NEG,2
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
Hàng y hình r?t ??p ? ??.,POS,5
Thái ?ô kém Th?i gian giao hàng r?t ch?m Shop ph?c v? r?t kém.,NEG,1
Bàn m?ng nên ko nâng l?m.,NEG,2
??p l?m ??y.,POS,4
"Áo gi?ng hình, ch?t v?i h?i nóng.",POS,4
"?óng g?i không c?n th?n, shop nên ?ong h?p c?ng ?? b? móp b?p túi.",NEG,1
Giao hàng nhanh. .mua sp thì h?i k? tr??c tránh th?t v?ng.,NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?c.,POS,5
"Th?i gian giao hàng r?t nhanh, d?y d?n, ??p.",POS,5
có gi?ng hình nh?ng v?i r?t m?ng không ?úng nh? hình . giá ti?n t??ng ???ng v?i s?n ph?m.,NEG,2
"Ch? shop t? v?n r?t nhi?t tình, ??m lên form r?t ??p, h?p v?i dáng mình, còn ?c t?ng kèm qà.",POS,5
Váy còn ??p và chu?n h?n hình n?a.,POS,5
Sz 2 b? xanh và h?ng ko gi?ng nhau.,NEG,1
Áo r? ??p phù h?p giá ti?n.,POS,4
"Áo v?i c?c ??p, y hình, có ?i?u to h?n mong ??i....",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
